,text,nwords_text,llama3.2:3b_summary,mistral:7b_summary,llama3.2:3b_summary_nwords_percnt,mistral:7b_summary_nwords_percnt
985,"Buy Voltas Dec 28 Expiry 880 CALL at Rs 25.25 and simultaneously sell 920 CALL at Rs 12.7Lot Size 600Cost of the strategy: Rs 12.55 (Rs 7,530 per strategy)Maximum profit: Rs 16,470 if Voltas closes at or above Rs 920 on 28 Dec-expiry.Breakeven Point: Rs 892.55Risk Reward Ratio- 1:2.19Approx margin required: Rs 18.000>> Long build up is seen in the Voltas Futures on Thursday where Open Interest rose by 7 per cent (Prov) with the stock rising 2.49 per cent.>> Stock price has broken out from the downward sloping trendline, adjoining the highs of Sept 11, 2023 and Nov 12, 2023.>> Stock price has broken out on the daily chart with higher volumes.>> Oscillator like RSI and MFI are in rising mode and placed above 60 on the daily chart, indicating strength in the stock.It is advisable to book profit in the strategy when ROI exceeds 20 per cent.",149,"Buy Voltas Dec 28 Expiry 880 CALL at Rs 25.25 and sell 920 CALL at Rs 12.7, aiming for a maximum profit of Rs 16,470 if it closes above Rs 920 on Dec 28."," Voltas futures see 7% rise; Stock price breaks out from downward trendline, RSI and MFI indicate stock strength. Bullish call option strategy with maximum profit at Rs 16,470 if Voltas closes at or above Rs 920 on Dec 28, with breakeven at Rs 892.55.",22.818791946308725,29.530201342281877
2311,"Gurugram, Jan 16 (IANS) The Real Estate Regulatory Authority (RERA) said on Tuesday that no promoter should accept more than 10 per cent of the cost of a flat, plot or building as an advance payment or application fee.Following Section 13(1) of the RERA Act, 2016, and Rule 8 (1) of the Haryana Real Estate (Regulation and Development) Rules, 2017, all prospective and existing allottees are hereby informed by the Authority about the regulations governing the acceptance of advance payment or application fee for real estate projects.According to the RERA Act, 2016, no promoter should accept a sum exceeding 10 per cent of the cost of an apartment, plot or a building without a written agreement for sale and registration of the said agreement.The agreement for sale should specify various project particulars, payment details, possession dates and other relevant information as prescribed under the Act.Additionally, as per Rule 8(1) of The Haryana Real Estate (Regulation and Development) Rules, 2017, the agreement for sale will be as per Annexure ""A"", which can be accessed through the following link: Haryana RERA Rules 2017.""All allottees are advised to take note of the aforementioned regulations when purchasing any unit/plot/apartment for residential/commercial/industrial/IT/any other usage,"" it said.--IANSstr/khz",201,"RERA regulates advance payments up to 10% of flat/project cost, with written agreement and registration required. Allottees must take note of regulations before purchasing units/plots."," RERA restricts promoters from accepting more than 10% as advance payment for real estate projects, stipulating a written agreement for sale and registration. The agreement should contain project details, payment plans, possession dates, and other prescribed information. Annexure ""A"" of the Haryana RERA Rules provides the format for the agreement. Allottees are advised to adhere to these regulations while purchasing units/plots/apartments.",12.437810945273633,30.34825870646766
2576,"HELSINKI - In a significant shift for the mobile device market, HMD Global, the home of Nokia (HE:NOKIA) phones, has announced a new strategy that will consolidate the sales of Nokia-branded mobile devices exclusively on its own website. Starting February 1st, consumers looking to purchase Nokia phones will need to visit hmd.com, as the 'Phone' section on the Nokia official site is set to be removed and its content transferred to HMD Global's platform.This move comes as part of a broader strategic rebranding initiative by HMD Global, which has been managing the Nokia brand for mobile devices since 2016. The company's agreement to operate under the Nokia brand is in place until 2025. In preparation for this transition, HMD Global has been actively informing its customers of the upcoming changes through communications such as the MyApp newsletter.The rebranding efforts extend beyond the website consolidation. HMD Global has also updated its social media presence to reflect this new direction, changing its Twitter handle from @nokiamobile to @HMDglobal. HMD Global's new website, hmd.com, will not only feature classic Nokia devices but will also showcase products from new partnerships and original HMD-branded products. It appears that the company may be scaling back on Nokia's smartphone offerings, instead prioritizing feature phones and a limited selection of models. Meanwhile, HMD is set to place more emphasis on promoting its own branded smartphones.This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",246,"HMD Global, Nokia's mobile device manager, announces new strategy consolidating sales on hmd.com starting Feb 1st, shifting from Nokia official site. This move is part of a broader rebranding initiative until 2025, prioritizing HMD-branded products and potentially scaling back smartphone offerings."," HMD Global, the manager of Nokia mobile devices since 2016, consolidates sales of Nokia phones exclusively on its website hmd.com from Feb 1st. This move is part of a broader rebranding strategy, with the company updating its social media presence to @HMDglobal and expanding product offerings beyond classic Nokia devices. The focus may shift towards feature phones and HMD-branded products, while smartphone offerings might be scaled back.",16.666666666666668,27.235772357723576
221,"HICKSVILLE, N.Y. -   New York Community Bancorp  , Inc. (NYSE:NYCB), the parent company of Flagstar Bank, N.A., has scheduled its fourth quarter earnings release for the period ending December 31, 2023, for the morning of January 31, 2024. The announcement will be made at roughly 7:00 a.m. Eastern Time and will be available on the company's investor relations website.Following the release, a conference call led by President and CEO Thomas R. Cangemi and other executive leaders will take place at 8:30 a.m. Eastern Time to discuss the financial results of the fourth quarter. New York Community Bancorp (NASDAQ:CTBI) is among the nation's largest regional banks with $111.2 billion in assets as of September 30, 2023. The company boasts a substantial loan portfolio of $85.9 billion and holds deposits totaling $82.7 billion. It operates Flagstar Bank with 436 branches across various regions and Flagstar Mortgage through a wholesale network of approximately 3,000 third-party mortgage originators.The company claims market-leading positions in several sectors, including multi-family lending, mortgage origination and servicing, and warehouse lending. It is recognized as the second-largest multi-family portfolio lender in the United States and the top lender in the New York City area, focusing on rent-regulated, non-luxury apartment buildings. Flagstar Mortgage ranks as the seventh-largest bank originator of residential mortgages, and the company is also noted as the fifth-largest sub-servicer of mortgage loans nationally, handling 1.6 million accounts. Additionally, it stands as the second-largest mortgage warehouse lender in the country based on total commitments.This financial update is based on a press release statement from New York Community Bancorp, Inc. and does not include any promotional content or subjective claims. This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",290,"New York Community Bancorp will release fourth quarter earnings January 31, 2024, at 7:00 a.m. ET, followed by a conference call at 8:30 a.m. ET. The bank has $111.2 billion in assets and boasts market-leading positions in multi-family lending, mortgage origination, and warehouse lending.","4th quarter earnings for New York Community Bancorp (NYSE: NYCB) will be released on January 31, 2024, at 7:00 a.m. Eastern Time. The bank, one of the nation's largest with $111.2 billion in assets, operates Flagstar Bank and Flagstar Mortgage. It has market-leading positions in multi-family lending, mortgage origination, servicing, and warehouse lending.",15.172413793103448,18.275862068965516
2362,"DALLAS -   Energy Transfer   LP (NYSE:ET), a major player in the U.S. energy sector, disclosed its plans today to conduct concurrent public offerings of two sets of debt securities, subject to market conditions and other factors. The offerings will consist of senior notes due in 2034 and 2054, along with junior subordinated notes also maturing in 2054.The proceeds from these offerings are earmarked for several financial maneuvers, including the refinancing of existing debt, such as borrowings under the company's revolving credit facility. Additionally, Energy Transfer aims to redeem its outstanding Series C, D, and E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units, with the Series E preferred units slated for redemption when they become redeemable on May 15, 2024. The remaining funds will be allocated for general partnership purposes.Citigroup Global Markets Inc., Credit Agricole (OTC:CRARY) Securities (USA) Inc.,  Deutsche Bank  (ETR:DBKGn) Securities Inc., PNC Capital Markets LLC, and RBC Capital Markets, LLC are serving as joint book-running managers for both the senior and junior subordinated notes offerings.The offerings are being made through an effective shelf registration statement and prospectus filed with the Securities and Exchange Commission (SEC). Interested parties can obtain copies of the prospectus and related prospectus supplement for each offering from the respective managing firms.Energy Transfer, which owns and operates a vast array of energy assets across the United States, including over 125,000 miles of pipelines, is a publicly traded limited partnership. Its assets cover 44 states and include a variety of midstream, transportation, storage, and terminalling facilities for natural gas, crude oil, natural gas liquids (NGL), and refined products. The company also holds significant interests in Sunoco LP (NYSE:SUN) and USA Compression Partners, LP (NYSE:NYSE:USAC).The information presented here is based on a press release statement from Energy Transfer LP.This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",311,"Energy Transfer LP plans to issue senior and junior subordinated notes, maturing in 2034-2054, to refinance debt and redeem preferred units, using proceeds for financial maneuvers and general partnership purposes."," Energy Transfer LP plans to issue senior notes due 2034 & 2054, junior subordinated notes maturing in 2054 for refinancing debt, redeeming preferred units, and general partnership purposes. Citigroup, Credit Agricole, Deutsche Bank, PNC Capital Markets, and RBC Capital Markets are joint book-running managers. The offerings are subject to market conditions and SEC approval.",9.646302250803858,17.363344051446944
339,"HOUSTON - Nauticus Robotics, Inc. (NASDAQ: KITT), a company specializing in autonomous subsea robotics, has recently completed a financial restructuring that saw the elimination of dilutive warrants and ratchet provisions from its original financing. The restructuring, completed before the end of 2023, also involved securing a new investment from current backers, with a second tranche of funding under discussion to support operations throughout the year.The company's strategic refocus includes the appointment of John W. Gibson, Jr. as interim CEO on January 4, 2024, and the introduction of new executives, Victoria Hay as interim CFO and Nicholas Bigney as General Counsel.Gibson, with over 35 years of experience in the energy and IT sectors, including a tenure as President of Halliburton (NYSE:HAL) Energy Services, emphasized the company's shift towards commercializing its intellectual property and providing valuable solutions to commercial and government customers. The executive team aims to transition from prototype development to delivering reliable solutions for the ""blue economy,"" particularly in subsea inspections and maintenance.Nauticus is set to begin offshore certification of its new Aquanaut Mk2 vehicle in early 2024, with plans to move into contracted operations at a deepwater field for a major oil and gas producer upon certification completion. The company also announced the engagement of Piper Sandler & Co. as its investment banking advisor to assist in financing efforts and explore strategic alternatives, including a potential merger with 3D at Depth.The information for this article is based on a press release statement from Nauticus Robotics.This article was generated with the support of AI and reviewed by an editor. For more information see our T&C.",265,"Nauticus Robotics completes financial restructuring, eliminating dilutive warrants and securing new investment. New CEO John Gibson aims to commercialize intellectual property, deliver reliable subsea solutions for energy companies. Company to begin offshore certification in early 2024 and explore merger options with 3D at Depth."," Nasdaq-listed Nauticus Robotics completed a financial restructuring in late 2023, eliminating dilutive warrants and securing new investment. Interim CEO John W. Gibson Jr., with background at Halliburton, emphasizes commercialization of intellectual property and transition from prototypes to solutions for the ""blue economy."" Offshore certification for Aquanaut Mk2 vehicle planned in early 2024. Investment banking advisor Piper Sandler & Co. engaged for financing and strategic alternatives, including potential merger with 3D at Depth.",16.60377358490566,27.169811320754718
2669,"Indian data center operator Yotta has announced plans to bolster its AI cloud services through a $500 million investment in additional AI chips from its partner Nvidia (NASDAQ:NVDA). The latest order, which will include nearly 16,000 of Nvidia's artificial intelligence chips, H100 and GH200, is part of Yotta's strategy to enhance its capabilities in the AI domain, its CEO and co-founder Sunil Gupta told Reuters.Yotta, which runs three data centre campuses, had previously disclosed its intention to purchase Nvidia chips but did not specify the deal's value or chip types. The new order, expected to be placed by March 2025, adds to a previous order made by Yotta for about 16,000 H100 chips, set for delivery by July this year.These orders are important for Nvidia in the Indian market, especially amid challenges in exporting certain chips to China and other countries due to U.S. restrictions. The company estimates AI adoption in India to reach $14 billion by 2030.""India's AI ambition is just not possible unless this infra comes to India,"" Gupta told Reuters.",173,"Yotta invests $500m in Nvidia's AI chips, bolstering its AI cloud services with nearly 32,000 H100 and GH200 chips, as part of its strategy to enhance AI capabilities in India by 2030."," Indian data center operator Yotta is investing $500 million in Nvidia's AI chips, ordering nearly 16,000 H100 and GH200 chips for enhanced AI capabilities. This move supports Nvidia's growth in the Indian market amid US restrictions on chip exports. Yotta aims to bolster India's AI industry, with projected adoption reaching $14 billion by 2030.",18.497109826589597,31.213872832369944
2208,"Microfinance firm Credit Access Grameen on Monday said it has raised Rs 989.58 crore through public issue of secured, redeemable Non-Convertible Debentures (NCDs).The NCD Tranche II Issue had a base issue size of Rs 400 crore with an option to retain oversubscription of up to Rs 600 crore aggregating up to Rs 1,000 crore, the Non-Banking Financial Company-Micro Finance Institution (NBFC-MFI) said in a statement on Monday.The issue saw interest from investors across series and tenures offering monthly and cumulative interest options with effective yield ranging from 9.48 per cent to 10.13 per cent per annum, it said.",98,Microfinance firm raises Rs 989 crore through secured NCDs with 9.48-10.13% annual interest rate offering.," Credit Access Grameen raises Rs 989.58 crore through NCD issue, with yields ranging from 9.48% to 10.13%.",15.306122448979592,17.346938775510203
1883,"Shares of Indian Renewable Energy Development Agency (IREDA) surged 80% in their trading debut on Wednesday as investors bet on government-led projects, valuing the state-owned firm at 155.22 billion rupees ($1.86 billion).Shares of IREDA, which were listed at 50 rupees, climbed to a high of 57.75 rupees, well above their initial public offer (IPO) price of 32 rupees.It was also the most heavily-traded stock, with over 458 million shares traded by 11:58 a.m. IST.""The listing was above the market expectations...IREDA's strong financial performance and focus on the burgeoning renewable energy sector make it attractive,"" said Shivani Nyati, Head of Wealth, Swastika Investmart.The domestic renewable energy sector is poised for significant growth in the coming years, propelled by government-led initiatives and increasing environmental concerns, Nyati added.However, the company is valued much lower than its peers REC and Power Finance Corp, which are currently valued at $10.89 billion and $12.96 billion, respectively.Last week, the IPO of IREDA - a non-banking financial company that focuses on renewable energy projects - received strong interest, and was oversubscribed 38.8 times.India has seen a record 196 IPOs so far this year, during which the stock market scaled all-time highs as the country's economic growth prospects and a vast consumer base made it an attractive investment destination.However, companies going public have had mixed responses, with some tepid debuts being attributed to market conditions, valuation concerns, or worries about competition.These companies have raised about $5.97 billion, a 22.6% decline from the same period last year, according to data from LSEG.IREDA's profit jumped 41.2% to 5.79 billion rupees in the half year ended Sept. 30, while its interest income climbed 49.1%.The domestic equity market will see a multiple debuts this week, including Tata Motors -owned Tata Technologies, which will on Thursday mark the first listing from the Tata Group in nearly two decades.",304,"Shares of IREDA surged 80% on trading debut, valuing the firm at $1.86 billion, as investors bet on government-led renewable energy projects. The company's IPO received strong interest and was oversubscribed 38.8 times, making it attractive due to its strong financial performance in a growing sector."," IREDA shares surge 80% in trading debut, valuing the state-owned renewable energy firm at $1.86 billion. Strong investor interest and focus on renewable energy led to oversubscription of IPO 38.8 times. Despite strong financial performance, IREDA is valued lower than peers REC and Power Finance Corp. IPO saw record 196 IPOs in India this year, but some companies had tepid debuts due to market conditions, valuation concerns or competition. IREDA's profit jumped 41.2% to $5.79 billion in the half year ended Sept. 30, with interest income climbing 49.1%. Other debuts expected this week including Tata Motors-owned Tata Technologies.",15.131578947368421,32.23684210526316
2102,"New Delhi, Jan 12 (IANS) Popular teenage chat platform Discord is laying off 17 per cent of its workforce, or about 170 employees, across various departments.In an internal memo obtained by the Verge, Discord CEO Jason Citron blamed over-hiring for the decision at an all-hands meeting late on Thursday.“We grew quickly and expanded our workforce even faster, increasing by 5x since 2020,” Citron wrote in the memo.“As a result, we took on more projects and became less efficient in how we operated. Today, we are increasingly clear on the need to sharpen our focus and improve the way we work together to bring more agility to our organisation. This is what largely drove the decision to reduce the size of our workforce,” he added.Last August, Discord laid off 4 per cent of its staff -- nearly 40 employees -- as part of the restructuring plan. Discord has raised a total of about $1 billion in funding to date. Citron said in the internal memo that the affected employees will get five months of salary (plus an additional week for every full year at Discord), five months of benefit continuation, three months of outplacement services, and equity vesting of awards scheduled to vest on February 1, 2024.While difficult, “I am confident this will put us in the best position to continue building a strong and profitable business that delivers amazing products for our users and supports our mission for years to come,” he added.--IANSna/kvd",243,"Discord layoffs 17% workforce, about 170 employees, due to over-hiring, as CEO Jason Citron seeks to improve efficiency and agility. Affected staff will receive severance packages, including five months of salary and outplacement services."," Discord announces layoff of 17% workforce (about 170 employees), citing over-hiring as the reason in an effort to sharpen focus and improve efficiency. CEO Jason Citron promises severance packages, including five months' salary, benefit continuation, outplacement services, and equity vesting. This is the second round of layoffs following August 2021, with a total funding raised of about $1 billion.",13.991769547325102,24.279835390946502
